,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNUAL REGULAR INCOME AND DEPENDENCIES,,,,,,,,,,,,,,,,,,,,,,,,,,,
by LGU,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY 2019 (Final),,,,,,,,,,,,,,,,,,,,,,,,,,,
In Php Million,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION,PROVINCE,LGU NAME,LGU TYPE,INCOME CLASS,LOCALLY SOURCED REVENUE (LSR),,,,,,,,,INTEREST INCOME,INTERNAL REVENUE ALLOTMENT (IRA),OTHER SHARES FROM NATIONAL TAX COLLECTION,,,,,,,ANNUAL REGULAR INCOME (ARI),LSR DEPENDENCY,IRA DEPENDENCY,OTHER SHARES FROM NATIONAL TAX DEPENDENCY,
,,,,,TAX REVENUE,,,,NON-TAX REVENUE,,,,TOTAL LOCALLY - SOURCED REVENUE (LSR),,,"Share From Economic Zone 
(RA 7227)",Share From EVAT,Share From National Wealth,Share From Pagcor/PCSO/Lotto,Share From Tobacco Excise Tax (RA 7171),Others,TOTAL OTHER SHARES FROM NATIONAL TAX COLLECTION,,,,,
,,,,,"Real Property Tax 
(General Fund)",Tax On Business,Other Taxes,Total Tax Revenue,Regulatory Fees,Service/User Charges,Receipts From Economic Enterprises,Total Non-Tax Revenue,,,,,,,,,,,,,,,
,,,,,,,,,,,,,a,,b,,,,,,,c,d,e = a / d,f = b / d,g = c / d,
Region III,Nueva Ecija,Nueva Ecija,Province,1st,114.45,11.53,14.00,139.98,14.60,1.67,319.37,335.64,475.62,5.81,"2,804.10",0.00,0.00,0.00,3.46,0.00,0.00,3.46,"3,288.99",14.5%,85.3%,0.1%,
Region III,Pampanga,Pampanga,Province,1st,55.64,309.95,54.19,419.78,48.66,1.05,733.78,783.49,"1,203.27",13.25,"2,460.53",0.00,0.00,0.00,4.47,0.00,0.00,4.47,"3,681.52",32.7%,66.8%,0.1%,
Region III,Tarlac,Tarlac,Province,1st,36.27,30.76,29.71,96.74,48.28,191.19,0.00,239.47,336.21,2.80,"1,834.70",0.00,0.00,0.00,3.42,0.00,0.00,3.42,"2,177.13",15.4%,84.3%,0.2%,
Region III,Zambales,Zambales,Province,2nd,93.91,42.42,14.67,151.00,0.31,16.09,0.00,16.40,167.40,8.01,"1,261.06",0.00,0.00,5.03,1.79,0.00,0.00,6.82,"1,443.29",11.6%,87.4%,0.5%,
Region IV-A,Batangas,Batangas,Province,1st,370.16,40.62,119.90,530.69,0.55,250.60,0.00,251.15,781.84,9.34,"2,994.73",0.00,0.00,0.00,5.77,0.00,0.00,5.77,"3,791.68",20.6%,79.0%,0.2%,
Region IV-A,Cavite,Cavite,Province,1st,216.88,105.16,172.48,494.52,15.97,110.91,0.00,126.88,621.40,5.08,"3,661.78",0.00,0.00,0.00,9.05,0.00,0.00,9.05,"4,297.31",14.5%,85.2%,0.2%,
Region IV-A,Laguna,Laguna,Province,1st,75.75,38.46,23.74,137.94,3.56,199.23,28.10,230.89,368.84,9.05,"3,150.54",0.00,0.00,17.15,6.14,0.00,0.00,23.29,"3,551.72",10.4%,88.7%,0.7%,
Region IV-A,Quezon,Quezon,Province,1st,164.51,2.15,20.82,187.48,4.59,205.39,297.11,507.09,694.57,26.98,"2,869.83",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,591.37",19.3%,79.9%,0.0%,
Region IV-A,Rizal,Rizal,Province,1st,360.53,81.39,88.85,530.77,0.12,715.27,32.23,747.62,"1,278.40",70.28,"2,957.36",0.00,0.00,2.16,4.11,0.00,0.00,6.28,"4,312.31",29.6%,68.6%,0.1%,
MIMAROPA Region,Marinduque,Marinduque,Province,4th,5.24,8.07,0.98,14.29,0.06,16.88,0.00,16.94,31.24,2.94,698.35,0.00,0.00,0.00,0.63,0.00,0.00,0.63,733.15,4.3%,95.3%,0.1%,
MIMAROPA Region,Occidental Mindoro,Occidental Mindoro,Province,2nd,18.25,11.22,3.36,32.83,2.07,50.77,0.00,52.84,85.66,0.06,"1,411.29",0.00,0.00,0.03,0.22,27.12,0.00,27.37,"1,524.38",5.6%,92.6%,1.8%,
MIMAROPA Region,Oriental Mindoro,Oriental Mindoro,Province,1st,35.85,9.15,6.92,51.91,3.70,108.69,11.92,124.30,176.21,16.21,"1,546.85",0.00,0.00,0.00,0.83,0.00,0.00,0.83,"1,740.10",10.1%,88.9%,0.0%,
MIMAROPA Region,Palawan,Palawan,Province,1st,41.54,114.18,15.30,171.02,19.65,81.05,2.52,103.22,274.24,112.15,"2,609.90",0.00,0.00,11.29,0.41,0.00,0.00,11.70,"3,007.98",9.1%,86.8%,0.4%,
MIMAROPA Region,Romblon,Romblon,Province,3rd,6.43,4.17,0.62,11.22,0.82,2.22,79.92,82.96,94.18,1.45,806.57,0.00,0.00,0.00,0.12,0.00,0.00,0.12,902.32,10.4%,89.4%,0.0%,
Region V,Albay,Albay,Province,1st,33.80,88.92,4.83,127.55,1.69,155.80,0.00,157.50,285.05,8.94,"1,774.12",0.00,0.00,3.46,0.62,0.00,0.00,4.09,"2,072.19",13.8%,85.6%,0.2%,
Region V,Camarines Norte,Camarines Norte,Province,2nd,15.36,54.14,4.96,74.46,1.91,230.28,0.00,232.19,306.65,1.03,"1,131.75",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,439.43",21.3%,78.6%,0.0%,
Region V,Camarines Sur,Camarines Sur,Province,1st,26.67,13.45,5.83,45.94,2.03,19.11,0.00,21.14,67.09,0.59,"2,433.12",0.00,0.00,0.34,1.54,0.00,0.00,1.89,"2,502.68",2.7%,97.2%,0.1%,
Region V,Catanduanes,Catanduanes,Province,3rd,7.87,5.57,1.74,15.18,0.47,37.01,101.35,138.83,154.01,2.59,775.52,0.00,0.00,0.06,0.28,0.00,0.00,0.34,932.46,16.5%,83.2%,0.0%,
Region V,Masbate,Masbate,Province,1st,30.11,3.55,0.84,34.50,1.15,11.77,0.00,12.92,47.42,0.07,"1,578.83",0.00,0.00,2.01,0.57,0.00,0.00,2.58,"1,628.91",2.9%,96.9%,0.2%,
Region V,Sorsogon,Sorsogon,Province,2nd,12.00,2.02,6.42,20.44,0.57,217.75,2.95,221.26,241.70,1.82,"1,288.24",0.00,0.00,1.40,1.41,0.00,0.00,2.81,"1,534.57",15.8%,83.9%,0.2%,
Region VI,Aklan,Aklan,Province,2nd,57.94,18.68,25.60,102.22,0.71,13.66,545.18,559.56,661.77,2.09,"1,073.89",0.00,0.00,0.00,1.01,0.00,0.00,1.01,"1,738.77",38.1%,61.8%,0.1%,
Region VI,Antique,Antique,Province,2nd,22.09,8.57,4.43,35.09,2.48,117.10,0.00,119.59,154.68,2.58,"1,172.24",0.00,0.00,355.70,0.00,0.00,0.00,355.70,"1,685.20",9.2%,69.6%,21.1%,
Region VI,Capiz,Capiz,Province,1st,11.39,4.08,2.53,17.99,0.13,340.27,0.00,340.41,358.40,6.87,"1,309.96",0.00,0.00,0.00,0.75,0.00,0.00,0.75,"1,675.97",21.4%,78.2%,0.0%,
Region VI,Guimaras,Guimaras,Province,4th,15.00,0.94,1.25,17.19,0.92,7.95,87.63,96.50,113.69,0.30,612.40,0.00,0.00,0.15,0.01,0.00,0.00,0.16,726.55,15.6%,84.3%,0.0%,
Region VI,Iloilo,Iloilo,Province,1st,134.44,21.70,74.55,230.69,1.61,25.72,521.20,548.54,779.23,20.78,"2,528.85",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,328.85",23.4%,76.0%,0.0%,
Region VI,Negros Occidental,Negros Occidental,Province,1st,67.56,31.25,7.35,106.16,3.97,147.94,162.27,314.17,420.33,42.93,"3,304.49",0.00,0.00,0.07,20.74,0.00,0.00,20.81,"3,788.56",11.1%,87.2%,0.5%,
Region VII,Bohol,Bohol,Province,1st,50.78,9.08,10.99,70.85,0.00,131.94,0.00,131.94,202.79,17.84,"2,002.33",0.00,0.00,0.03,2.08,0.00,0.00,2.10,"2,225.06",9.1%,90.0%,0.1%,
Region VII,Cebu,Cebu,Province,1st,139.07,63.22,47.77,250.06,26.57,341.28,88.64,456.49,706.55,65.39,"3,385.54",0.00,0.00,1.46,3.51,0.00,0.00,4.97,"4,162.45",17.0%,81.3%,0.1%,
Region VII,Negros Oriental,Negros Oriental,Province,1st,29.95,3.77,10.79,44.52,5.26,319.30,0.00,324.56,369.08,3.67,"2,094.70",0.00,0.00,5.63,0.00,0.00,0.00,5.63,"2,473.09",14.9%,84.7%,0.2%,
Region VII,Siquijor,Siquijor,Province,5th,3.83,1.86,0.79,6.49,0.00,41.24,14.84,56.09,62.57,1.50,518.89,0.00,0.00,0.00,0.10,0.00,0.00,0.10,583.06,10.7%,89.0%,0.0%,
Region VIII,Biliran,Biliran,Province,4th,2.18,0.99,0.88,4.04,0.28,49.93,0.57,50.78,54.82,0.00,602.90,0.00,0.00,0.00,0.37,0.00,0.00,0.37,658.08,8.3%,91.6%,0.1%,
Region VIII,Eastern Samar,Eastern Samar,Province,2nd,3.64,2.74,0.37,6.74,0.18,58.66,0.00,58.83,65.57,0.95,"1,269.65",0.00,0.00,0.00,0.14,0.00,0.00,0.14,"1,336.31",4.9%,95.0%,0.0%,
Region VIII,Leyte,Leyte,Province,1st,47.05,14.67,2.93,64.66,0.53,415.04,0.00,415.57,480.23,27.11,"2,257.17",0.00,0.00,0.00,3.30,0.00,0.00,3.30,"2,767.81",17.4%,81.6%,0.1%,
